[contents]
count=1
Name=,D:\MassHunter\GCMS\1\data\Elizabeth\B06\24.06.06\RAU-R505-6.D
1=,INT TIC: RAU-R505-6.D\data.ms
[INT TIC: RAU-R505-6.D\data.ms]
Time=,Thu Jun 06 17:26:20 2024
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  6.055,  856, 860, 876,"  M ",1540125, 13328491,100.00, 43.534
2=,  2,  6.301,  898, 903, 912,"  M ",1175980,  8797474, 66.01, 28.735
3=,  3, 10.159, 1568,1571,1574,"  M2",  16748,   175681,  1.32,  0.574
4=,  4, 10.288, 1590,1593,1606,"  M ", 653741,  8314705, 62.38, 27.158
