[contents]
count=1
Name=,D:\MassHunter\GCMS\1\data\Elizabeth\B06\24.06.06\RAU-R505-7.D
1=,INT TIC: RAU-R505-7.D\data.ms
[INT TIC: RAU-R505-7.D\data.ms]
Time=,Thu Jun 06 17:26:41 2024
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  6.055,  856, 860, 874,"  M ",1525536, 12877459,100.00, 40.791
2=,  2,  6.301,  898, 903, 909,"  M ",1148082,  8761016, 68.03, 27.752
3=,  3, 10.158, 1570,1571,1574,"  M2",  21420,   203184,  1.58,  0.644
4=,  4, 10.288, 1590,1593,1604,"  M ", 854640,  9727602, 75.54, 30.814
