D:\MassHunter\GCMS\1\data\Elizabeth\B06\24.06.06\RAU-R505-2.D 06 Jun 24  03:14 pm
Start of data points
1.093 	 28027790
1.09877 	 27475576
1.10455 	 26519870
1.11032 	 25840428
1.1161 	 25286174
1.12187 	 24718548
1.12765 	 24128180
1.13342 	 23828898
1.1392 	 23085648
1.14498 	 22787550
1.15075 	 22663068
1.15653 	 27342878
1.1623 	 667871
1.16808 	 529392
1.17385 	 469133
1.17963 	 444109
1.1854 	 498779
1.19118 	 669723
1.19695 	 976094
1.20273 	 1340888
1.2085 	 1924511
1.21428 	 1640115
1.22005 	 336838
1.22583 	 216154
1.2316 	 199849
1.23738 	 188717
1.24315 	 178588
1.24893 	 259276
1.2547 	 606815
1.26048 	 1232053
1.26627 	 955878
1.27203 	 209187
1.27782 	 126082
1.28358 	 115693
1.28937 	 106471
1.29513 	 102787
1.30092 	 93962
1.30668 	 89816
1.31247 	 88423
1.31823 	 82999
1.32402 	 100539
1.32978 	 227429
1.33557 	 429379
1.34133 	 208500
1.34712 	 80732
1.35288 	 64789
1.35867 	 58444
1.36443 	 56277
1.37022 	 53412
1.37598 	 51526
1.38177 	 50403
1.38753 	 45247
1.39332 	 43855
1.3991 	 41929
1.40487 	 39294
1.41065 	 38565
1.41642 	 37279
1.4222 	 36645
1.42797 	 34660
1.43375 	 33340
1.43952 	 39445
1.4453 	 168472
1.45107 	 244844
1.45685 	 151781
1.46262 	 95893
1.4684 	 42721
1.47417 	 28967
1.47995 	 27749
1.48572 	 68702
1.4915 	 484442
1.49727 	 1131773
1.50305 	 718360
1.50882 	 199439
1.5146 	 58883
1.52037 	 27741
1.52615 	 22823
1.53193 	 28899
1.5377 	 30440
1.54348 	 21637
1.54925 	 18734
1.55503 	 17167
1.5608 	 16179
1.56658 	 15572
1.57235 	 15020
1.57813 	 15021
1.5839 	 14208
1.58968 	 14225
1.59545 	 14245
1.60123 	 14077
1.607 	 12758
1.61278 	 12320
1.61855 	 13637
1.62433 	 12191
1.6301 	 11864
1.63588 	 11974
1.64165 	 11394
1.64743 	 11120
1.65322 	 10598
1.65898 	 10737
1.66477 	 10320
1.67053 	 11495
1.67632 	 17219
1.68208 	 22277
1.68787 	 16869
1.69363 	 11865
1.69942 	 9436
1.70518 	 9324
1.71097 	 9270
1.71673 	 8463
1.72252 	 8359
1.72828 	 8766
1.73407 	 60809
1.73983 	 977430
1.74562 	 2961725
1.75138 	 2725694
1.75717 	 1185725
1.76293 	 395877
1.76872 	 130101
1.77448 	 39572
1.78027 	 21306
1.78605 	 39879
1.79182 	 62794
1.7976 	 46358
1.80337 	 37593
1.80915 	 43317
1.81492 	 34334
1.8207 	 19347
1.82647 	 10495
1.83225 	 7674
1.83802 	 7165
1.8438 	 10127
1.84957 	 28713
1.85535 	 52458
1.86112 	 49394
1.8669 	 31407
1.87267 	 35527
1.87845 	 43030
1.88422 	 32168
1.89 	 17391
1.89577 	 10433
1.90155 	 6986
1.90733 	 5499
1.9131 	 5214
1.91888 	 5448
1.92465 	 5342
1.93043 	 5177
1.9362 	 5602
1.94198 	 5059
1.94775 	 5974
1.95353 	 13220
1.9593 	 29659
1.96508 	 31934
1.97085 	 21910
1.97663 	 11077
1.9824 	 8660
1.98818 	 12538
1.99395 	 20832
1.99973 	 19663
2.0055 	 12509
2.01128 	 8669
2.01705 	 14799
2.02283 	 27368
2.0286 	 27211
2.03438 	 18071
2.04017 	 9211
2.04593 	 6382
2.05172 	 4692
2.05748 	 4126
2.06327 	 4110
2.06903 	 3728
2.07482 	 4198
2.08058 	 4013
2.08637 	 3926
2.09213 	 3931
2.09792 	 3214
2.10368 	 3916
2.10947 	 4088
2.11523 	 3734
2.12102 	 3754
2.12678 	 4478
2.13257 	 3941
2.13833 	 3701
2.14412 	 3521
2.14988 	 3782
2.15567 	 3527
2.16143 	 3387
2.16722 	 4006
2.173 	 4299
2.17877 	 3820
2.18455 	 3579
2.19032 	 3564
2.1961 	 3719
2.20187 	 3551
2.20765 	 3321
2.21342 	 3505
2.2192 	 3421
2.22497 	 3760
2.23075 	 3110
2.23652 	 2821
2.2423 	 3194
2.24807 	 3114
2.25385 	 2976
2.25962 	 3232
