[contents]
count=1
Name=,D:\MassHunter\GCMS\1\data\Elizabeth\B06\24.06.06\RAU-R505-11.D
1=,INT TIC: RAU-R505-11.D\data.ms
[INT TIC: RAU-R505-11.D\data.ms]
Time=,Fri Jun 07 09:39:46 2024
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  6.056,  855, 860, 877,"  M ",1042404,  9737776, 42.68, 23.443
2=,  2,  6.301,  898, 903, 911,"  M ",1119168,  8496124, 37.24, 20.454
3=,  3, 10.155, 1568,1570,1574,"  M ",  57727,   489347,  2.14,  1.178
4=,  4, 10.286, 1589,1593,1607,"  M ",2451028, 22814838,100.00, 54.925
