[contents]
count=1
Name=,D:\MassHunter\GCMS\1\data\Elizabeth\B06\24.06.06\RAU-R505-16.D
1=,INT TIC: RAU-R505-16.D\data.ms
[INT TIC: RAU-R505-16.D\data.ms]
Time=,Fri Jun 07 09:41:46 2024
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  6.066,  858, 862, 874,"  M ", 198087,  2647352,  3.83,  3.179
2=,  2,  6.301,  899, 903, 913,"  M ",1254811,  9553816, 13.81, 11.473
3=,  3, 10.154, 1568,1570,1574,"  M ", 229665,  1901269,  2.75,  2.283
4=,  4, 10.288, 1590,1593,1601,"  M ",8687627, 69168232,100.00, 83.064
