[contents]
count=1
Name=,D:\MassHunter\GCMS\1\data\Elizabeth\B06\24.06.06\RAU-R505-9.D
1=,INT TIC: RAU-R505-9.D\data.ms
[INT TIC: RAU-R505-9.D\data.ms]
Time=,Fri Jun 07 15:59:18 2024
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  6.055,  857, 860, 878,"  M ",1517969, 13001668, 86.96, 34.523
2=,  2,  6.301,  898, 903, 913,"  M ",1232880,  9438338, 63.13, 25.062
3=,  3, 10.156, 1568,1570,1573,"  M ",  33901,   269693,  1.80,  0.716
4=,  4, 10.287, 1590,1593,1610,"  M ",1400984, 14950665,100.00, 39.699
