[contents]
count=1
Name=,D:\MassHunter\GCMS\1\data\Elizabeth\B06\24.06.06\RAU-R505-8.D
1=,INT TIC: RAU-R505-8.D\data.ms
[INT TIC: RAU-R505-8.D\data.ms]
Time=,Thu Jun 06 18:09:06 2024
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  6.055,  856, 860, 876,"  M ",1506033, 12691142,100.00, 38.003
2=,  2,  6.301,  898, 903, 909,"  M ",1168623,  8870133, 69.89, 26.561
3=,  3, 10.156, 1568,1570,1574,"  M3",  25627,   249939,  1.97,  0.748
4=,  4, 10.287, 1590,1593,1605,"  M ",1029031, 11583893, 91.28, 34.687
