[contents]
count=1
Name=,D:\MassHunter\GCMS\1\data\Elizabeth\B06\24.06.06\RAU-R505-10.D
1=,INT TIC: RAU-R505-10.D\data.ms
[INT TIC: RAU-R505-10.D\data.ms]
Time=,Fri Jun 07 15:59:34 2024
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  6.055,  856, 860, 877,"  M ",1401139, 12027626, 76.35, 32.430
2=,  2,  6.301,  898, 903, 910,"  M ",1195261,  8933403, 56.71, 24.087
3=,  3, 10.155, 1568,1570,1574,"  M ",  40475,   373163,  2.37,  1.006
4=,  4, 10.287, 1589,1593,1607,"  M ",1473608, 15754168,100.00, 42.477
