[contents]
count=1
Name=,D:\MassHunter\GCMS\1\data\Elizabeth\B06\24.06.06\RAU-R505-15.D
1=,INT TIC: RAU-R505-15.D\data.ms
[INT TIC: RAU-R505-15.D\data.ms]
Time=,Fri Jun 07 09:41:17 2024
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  6.061,  857, 861, 874,"  M ", 430456,  4676477,  5.71,  4.628
2=,  2,  6.301,  899, 903, 910,"  M ",1567507, 12023206, 14.67, 11.898
3=,  3, 10.154, 1566,1570,1575,"  M ", 278620,  2418145,  2.95,  2.393
4=,  4, 10.290, 1590,1593,1606,"  M ",9600656, 81931557,100.00, 81.081
