[contents]
count=1
Name=,D:\MassHunter\GCMS\1\data\Elizabeth\B06\24.06.06\RAU-R505-3.D
1=,INT TIC: RAU-R505-3.D\data.ms
[INT TIC: RAU-R505-3.D\data.ms]
Time=,Thu Jun 06 16:31:17 2024
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  6.055,  855, 860, 875,"  M ",1822685, 14727243,100.00, 53.695
2=,  2,  6.301,  899, 903, 913,"  M ",1155322,  9070851, 61.59, 33.072
3=,  3, 10.166, 1570,1572,1575,"  M3",   6088,    74545,  0.51,  0.272
4=,  4, 10.295, 1591,1594,1612,"  M ", 178009,  3554840, 24.14, 12.961
