[contents]
count=1
Name=,D:\MassHunter\GCMS\1\data\Elizabeth\B06\24.06.06\RAU-R505-14.D
1=,INT TIC: RAU-R505-14.D\data.ms
[INT TIC: RAU-R505-14.D\data.ms]
Time=,Fri Jun 07 09:41:02 2024
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  6.061,  856, 861, 874,"  M ", 390954,  4344990,  8.70,  6.767
2=,  2,  6.301,  898, 903, 913,"  M ",1149537,  8573613, 17.16, 13.352
3=,  3, 10.154, 1568,1570,1573,"  M ", 158314,  1326174,  2.65,  2.065
4=,  4, 10.287, 1590,1593,1602,"  M ",6674748, 49967776,100.00, 77.816
