[contents]
count=1
Name=,D:\MassHunter\GCMS\1\data\Elizabeth\B06\24.06.06\RAU-R505-12.D
1=,INT TIC: RAU-R505-12.D\data.ms
[INT TIC: RAU-R505-12.D\data.ms]
Time=,Fri Jun 07 09:40:14 2024
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  6.056,  857, 860, 874,"  M ", 870296,  8718284, 29.05, 18.066
2=,  2,  6.302,  899, 903, 911,"  M ",1181456,  8832165, 29.43, 18.302
3=,  3, 10.155, 1569,1570,1573,"  M ",  83984,   700231,  2.33,  1.451
4=,  4, 10.286, 1590,1593,1601,"  M ",3692553, 30007995,100.00, 62.182
