[contents]
count=1
Name=,D:\MassHunter\GCMS\1\data\Elizabeth\B06\24.06.06\RAU-R505-13.D
1=,INT TIC: RAU-R505-13.D\data.ms
[INT TIC: RAU-R505-13.D\data.ms]
Time=,Fri Jun 07 09:40:32 2024
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  6.058,  856, 861, 877,"  M ", 598752,  6926895, 14.93, 10.837
2=,  2,  6.301,  899, 903, 911,"  M ",1233575,  9540309, 20.56, 14.926
3=,  3, 10.154, 1568,1570,1572,"  M ", 144400,  1048770,  2.26,  1.641
4=,  4, 10.287, 1590,1593,1602,"  M ",6278308, 46400876,100.00, 72.596
